iter	Passed	Remaining
0	20	20798
1	35	17614
2	45	15101
3	54	13666
4	62	12513
5	70	11760
6	79	11237
7	87	10864
8	98	10874
9	109	10813
10	120	10851
11	133	10959
12	149	11358
13	157	11125
14	166	10930
15	174	10708
16	182	10532
17	190	10379
18	198	10273
19	206	10128
20	214	10016
21	222	9893
22	230	9801
23	238	9698
24	248	9687
25	256	9594
26	265	9549
27	273	9485
28	281	9423
29	290	9380
30	303	9475
31	321	9715
32	329	9661
33	338	9605
34	347	9573
35	355	9506
36	363	9454
37	371	9404
38	379	9354
39	387	9306
40	396	9265
41	404	9217
42	410	9137
43	418	9099
44	426	9054
45	434	9020
46	446	9047
47	454	9014
48	462	8976
49	470	8948
50	479	8914
51	486	8878
52	496	8872
53	508	8906
54	517	8888
55	534	9008
56	542	8978
57	550	8943
58	558	8910
59	566	8879
60	574	8849
61	582	8819
62	591	8792
63	600	8775
64	608	8749
65	616	8727
66	624	8702
67	632	8675
68	641	8654
69	649	8628
70	658	8615
71	666	8588
72	674	8568
73	682	8542
74	690	8518
75	699	8508
76	712	8545
77	723	8551
78	738	8611
79	748	8612
80	757	8592
81	765	8573
82	774	8551
83	782	8528
84	790	8504
85	798	8483
86	806	8462
87	814	8438
88	822	8423
89	831	8405
90	839	8389
91	847	8367
92	856	8353
93	867	8359
94	876	8346
95	884	8332
96	918	8549
97	952	8765
98	975	8873
99	1005	9050
100	1028	9157
101	1061	9346
102	1087	9467
103	1115	9614
104	1141	9726
105	1162	9801
106	1182	9869
107	1192	9851
108	1202	9830
109	1212	9809
110	1222	9788
111	1232	9771
112	1241	9744
113	1254	9749
114	1281	9859
115	1313	10008
116	1334	10072
117	1366	10213
118	1383	10239
119	1403	10294
120	1430	10390
121	1455	10471
122	1482	10572
123	1514	10699
124	1533	10731
125	1567	10871
126	1587	10914
127	1607	10952
128	1616	10911
129	1624	10869
130	1633	10835
131	1642	10799
132	1652	10772
133	1660	10732
134	1669	10697
135	1677	10658
136	1685	10619
137	1694	10586
138	1704	10556
139	1713	10523
140	1721	10488
141	1730	10454
142	1738	10420
143	1747	10385
144	1756	10354
145	1764	10322
146	1776	10310
147	1787	10290
148	1805	10310
149	1813	10277
150	1822	10248
151	1831	10216
152	1840	10186
153	1848	10155
154	1857	10123
155	1865	10095
156	1874	10067
157	1883	10035
158	1891	10004
159	1899	9974
160	1909	9948
161	1919	9927
162	1927	9899
163	1938	9880
164	1946	9851
165	1954	9820
166	1962	9791
167	1972	9766
168	1982	9746
169	1992	9729
170	2005	9720
171	2017	9714
172	2027	9690
173	2035	9664
174	2043	9635
175	2053	9615
176	2063	9592
177	2071	9566
178	2079	9538
179	2088	9512
180	2096	9485
181	2105	9462
182	2113	9435
183	2121	9409
184	2129	9382
185	2138	9357
186	2146	9332
187	2155	9308
188	2163	9281
189	2171	9257
190	2179	9231
191	2189	9212
192	2197	9187
193	2206	9169
194	2220	9168
195	2229	9143
196	2237	9120
197	2247	9101
198	2256	9082
199	2265	9060
200	2272	9035
201	2281	9014
202	2291	8995
203	2299	8973
204	2308	8950
205	2316	8928
206	2324	8904
207	2332	8882
208	2340	8859
209	2349	8837
210	2357	8814
211	2368	8803
212	2376	8782
213	2387	8769
214	2398	8759
215	2412	8758
216	2421	8736
217	2430	8717
218	2439	8698
219	2447	8678
220	2455	8656
221	2463	8634
222	2471	8612
223	2483	8603
224	2491	8581
225	2501	8568
226	2510	8548
227	2519	8529
228	2527	8510
229	2536	8492
230	2545	8474
231	2553	8453
232	2563	8437
233	2571	8417
234	2583	8408
235	2597	8408
236	2607	8395
237	2620	8389
238	2629	8371
239	2637	8352
240	2646	8335
241	2654	8315
242	2663	8298
243	2671	8277
244	2680	8260
245	2688	8240
246	2696	8221
247	2705	8202
248	2712	8181
249	2720	8162
250	2728	8142
251	2736	8123
252	2745	8106
253	2753	8087
254	2761	8068
255	2769	8048
256	2776	8026
257	2786	8013
258	2797	8003
259	2810	8000
260	2822	7990
261	2830	7974
262	2841	7963
263	2849	7944
264	2862	7938
265	2870	7920
266	2878	7903
267	2887	7886
268	2895	7869
269	2906	7859
270	2915	7842
271	2924	7826
272	2933	7810
273	2941	7795
274	2950	7779
275	2960	7765
276	2968	7748
277	2977	7731
278	2987	7719
279	2995	7703
280	3006	7692
281	3014	7676
282	3027	7669
283	3035	7652
284	3043	7636
285	3052	7619
286	3060	7603
287	3068	7587
288	3077	7570
289	3085	7553
290	3093	7537
291	3101	7520
292	3111	7507
293	3122	7499
294	3137	7498
295	3150	7494
296	3163	7487
297	3171	7470
298	3179	7454
299	3191	7446
300	3204	7440
301	3223	7449
302	3231	7432
303	3238	7415
304	3246	7398
305	3254	7382
306	3263	7366
307	3272	7351
308	3285	7346
309	3296	7337
310	3312	7337
311	3328	7339
312	3345	7343
313	3375	7374
314	3404	7403
315	3420	7403
316	3437	7406
317	3452	7403
318	3469	7406
319	3485	7407
320	3503	7409
321	3521	7414
322	3539	7418
323	3552	7411
324	3566	7407
325	3578	7398
326	3587	7382
327	3603	7383
328	3614	7370
329	3629	7368
330	3639	7356
331	3656	7357
332	3665	7342
333	3675	7328
334	3683	7311
335	3695	7302
336	3707	7293
337	3715	7277
338	3725	7263
339	3733	7247
340	3741	7231
341	3749	7214
342	3759	7200
343	3767	7184
344	3775	7167
345	3789	7162
346	3803	7158
347	3811	7141
348	3830	7145
349	3845	7141
350	3856	7129
351	3864	7114
352	3872	7098
353	3881	7082
354	3889	7067
355	3897	7050
356	3905	7035
357	3914	7019
358	3922	7003
359	3930	6988
360	3939	6972
361	3950	6961
362	3958	6947
363	3967	6932
364	3975	6916
365	3983	6901
366	3992	6886
367	4002	6873
368	4010	6857
369	4019	6843
370	4027	6828
371	4039	6818
372	4049	6807
373	4058	6793
374	4066	6777
375	4074	6762
376	4082	6747
377	4090	6731
378	4098	6716
379	4106	6700
380	4115	6687
381	4123	6671
382	4132	6656
383	4139	6640
384	4147	6625
385	4156	6611
386	4165	6597
387	4174	6584
388	4183	6571
389	4191	6556
390	4202	6545
391	4214	6536
392	4223	6524
393	4238	6518
394	4246	6504
395	4254	6489
396	4262	6474
397	4270	6459
398	4279	6446
399	4287	6431
400	4296	6417
401	4304	6402
402	4312	6388
403	4320	6373
404	4327	6358
405	4335	6343
406	4345	6331
407	4353	6317
408	4362	6303
409	4374	6294
410	4382	6280
411	4397	6275
412	4406	6263
413	4415	6249
414	4425	6238
415	4435	6227
416	4446	6216
417	4454	6202
418	4463	6189
419	4472	6176
420	4480	6162
421	4491	6151
422	4509	6151
423	4526	6148
424	4539	6141
425	4547	6127
426	4555	6112
427	4563	6098
428	4571	6085
429	4581	6072
430	4591	6061
431	4600	6048
432	4609	6036
433	4622	6028
434	4636	6022
435	4644	6007
436	4652	5994
437	4661	5980
438	4669	5967
439	4677	5953
440	4686	5939
441	4694	5926
442	4702	5912
443	4710	5898
444	4719	5885
445	4727	5871
446	4735	5858
447	4743	5844
448	4751	5831
449	4759	5817
450	4767	5803
451	4775	5790
452	4784	5776
453	4791	5762
454	4800	5750
455	4810	5738
456	4818	5725
457	4831	5718
458	4842	5707
459	4852	5696
460	4865	5688
461	4876	5678
462	4894	5676
463	4902	5663
464	4910	5650
465	4919	5636
466	4927	5623
467	4935	5610
468	4943	5596
469	4951	5583
470	4961	5572
471	4969	5558
472	4978	5546
473	4986	5533
474	4995	5521
475	5012	5517
476	5022	5506
477	5039	5503
478	5054	5498
479	5070	5492
480	5084	5486
481	5104	5485
482	5127	5488
483	5140	5480
484	5163	5482
485	5180	5479
486	5194	5471
487	5213	5469
488	5240	5476
489	5257	5472
490	5276	5469
491	5292	5464
492	5305	5455
493	5315	5444
494	5326	5433
495	5338	5425
496	5352	5417
497	5360	5403
498	5369	5390
499	5377	5377
500	5385	5363
501	5394	5351
502	5402	5338
503	5412	5326
504	5424	5316
505	5441	5312
506	5459	5308
507	5471	5299
508	5482	5289
509	5493	5277
510	5501	5265
511	5510	5252
512	5521	5241
513	5530	5228
514	5538	5216
515	5546	5202
516	5555	5189
517	5563	5177
518	5572	5164
519	5581	5151
520	5589	5138
521	5597	5125
522	5605	5112
523	5616	5101
524	5628	5092
525	5636	5079
526	5656	5076
527	5666	5065
528	5675	5053
529	5683	5040
530	5692	5027
531	5700	5014
532	5708	5001
533	5716	4988
534	5725	4976
535	5733	4963
536	5741	4950
537	5751	4938
538	5759	4926
539	5767	4913
540	5776	4900
541	5784	4888
542	5793	4875
543	5800	4862
544	5809	4849
545	5820	4839
546	5836	4833
547	5848	4823
548	5856	4811
549	5864	4798
550	5872	4785
551	5881	4773
552	5890	4761
553	5899	4749
554	5908	4737
555	5917	4725
556	5926	4713
557	5938	4704
558	5947	4692
559	5959	4682
560	5972	4674
561	5986	4665
562	6005	4661
